epoch,lr,train_loss,train_acc,train_balanced_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,train_hard_loss,train_soft_loss,kd_temperature,kd_alpha
15,0.00024352347027881003,0.46061931242449927,0.9142857142857143,0.855281954887218,0.8592582557685564,0.3198522165683763,0.9014285714285715,0.8878571428571427,0.8626289736223943,0.2792802602321339,0.6419583620646825,4.0,0.5
16,0.00023263454721781537,0.4464347511171721,0.9209022556390978,0.8679887218045114,0.8722187581741687,0.25325695813524646,0.9228571428571428,0.8689285714285714,0.8799252756925764,0.26814551945202625,0.6247239845016828,4.0,0.5
17,0.0002210802993709498,0.4219891983442582,0.9259398496240602,0.8767481203007519,0.8804012819901847,0.2612029593679812,0.923265306122449,0.9036734693877552,0.8872350974606871,0.25132340396969366,0.592654992109881,4.0,0.5
18,0.00020895375474808852,0.40279291921223587,0.9306766917293233,0.8863533834586466,0.8881190715754934,0.23865978943498492,0.9312244897959183,0.8949489795918367,0.8928743701029948,0.23951345733187807,0.5660723807433476,4.0,0.5
19,0.0001963525491562421,0.38856794814077705,0.9335338345864662,0.8887781954887216,0.891379562290122,0.24640800127783766,0.923469387755102,0.8940816326530612,0.8851240314640642,0.2310719651868567,0.5460639302618802,4.0,0.5
20,0.00018337814009344714,0.37050082824694425,0.9378195488721804,0.8961654135338346,0.8988642962547745,0.21490242516065572,0.9389795918367347,0.9051020408163265,0.9078187385606947,0.2155993095545385,0.5254023458378819,4.0,0.5
21,0.00017013498987264832,0.3672091987413856,0.9383458646616541,0.897875939849624,0.9005972383735283,0.20885728464111106,0.94,0.9007142857142857,0.9101955977617348,0.21854992429367626,0.5158684727950738,4.0,0.5
22,0.00015672972455257723,0.35099569926611507,0.9440601503759398,0.9056203007518796,0.9085128938744431,0.20026183133194972,0.94,0.9146428571428572,0.911002233518837,0.20468005935589856,0.4973113383524693,4.0,0.5
23,0.0001432702754474228,0.348747225299191,0.9423308270676691,0.9040037593984962,0.9066803969992606,0.21123304107988422,0.9387755102040817,0.908265306122449,0.9073611469698296,0.20726254714939457,0.49023190470269096,4.0,0.5
24,0.0001298650101273517,0.329233794616392,0.9487218045112782,0.9148120300751881,0.9173366637614262,0.20439864480988934,0.9422448979591836,0.9237755102040816,0.915732688167128,0.18909876006476295,0.4693688304306796,4.0,0.5
25,0.00011662185990655284,0.3305752514145122,0.9485714285714286,0.914248120300752,0.916650294573545,0.20121503425399204,0.9406122448979591,0.9180102040816328,0.9115549620494325,0.19357855761280426,0.4675719449654795,4.0,0.5
26,0.0001036474508437579,0.31350795426764166,0.9538345864661654,0.9230639097744361,0.9250724059969931,0.20185068741972959,0.943469387755102,0.9262244897959183,0.9176350802967469,0.1808357519778208,0.44618015696939367,4.0,0.5
27,9.104624525191145e-05,0.31116826413199306,0.9513533834586466,0.919812030075188,0.9226344198702315,0.1882184234435682,0.9477551020408164,0.9280102040816327,0.9229839618555522,0.18012862630152646,0.44220790198932475,4.0,0.5
28,7.89197006290502e-05,0.30609660513269216,0.9540601503759398,0.9221992481203009,0.924540492184153,0.18855896503845979,0.9473469387755102,0.9268367346938776,0.9230589200168031,0.17824494912145802,0.4339482626304604,4.0,0.5
29,6.736545278218463e-05,0.2988528504143827,0.9573684210526315,0.9285526315789474,0.9306855193709492,0.19115648236028948,0.9459183673469388,0.9314795918367347,0.9223878992769338,0.17380599380255893,0.4238997072769472,4.0,0.5
30,5.6476529721189974e-05,0.29243992910218924,0.9572932330827068,0.9301127819548871,0.9324208349656857,0.1838820686370328,0.9491836734693877,0.9319387755102041,0.9250486153618407,0.1694852383538651,0.41539461835502434,4.0,0.5
31,4.63406026519703e-05,0.2841784257370119,0.9601503759398496,0.933984962406015,0.9350157651132507,0.18687559099408327,0.9491836734693877,0.9333673469387754,0.9259074527745053,0.1606828707198684,0.40767398100489605,4.0,0.5
32,3.7039280099458366e-05,0.2830140747917959,0.9592481203007519,0.9308646616541354,0.9334025800410709,0.18405747543052806,0.9489795918367347,0.9347448979591837,0.92578086826438,0.16246607365050855,0.40356207732111216,4.0,0.5
33,2.8647450843757897e-05,0.2852922378358646,0.958796992481203,0.9311466165413534,0.9328995592311333,0.1831397395822909,0.9479591836734694,0.9273469387755103,0.9231485937823019,0.1665597764793067,0.4040246987357162,4.0,0.5
34,2.1232680959720082e-05,0.28075909055769444,0.9598496240601504,0.9332518796992482,0.9348886844704621,0.18644292501418233,0.9477551020408164,0.931938775510204,0.9241077301702161,0.160891216302004,0.40062696400743264,4.0,0.5
35,1.4854669814637143e-05,0.27753644291526425,0.9604511278195489,0.9334022556390976,0.9352872645072672,0.18641877682371574,0.9487755102040817,0.9325510204081632,0.9243755106237792,0.16168439206488144,0.39338849398952264,4.0,0.5
36,9.564769404039419e-06,0.2732764381306389,0.9613533834586466,0.935075187969925,0.9372740285280265,0.1774381964479561,0.9520408163265306,0.9308673469387755,0.9290454183648996,0.15888860939034763,0.3876642662888536,4.0,0.5
37,5.405570895622013e-06,0.2752709328196943,0.9630075187969925,0.9382518796992481,0.9401992708220884,0.17987502765442645,0.9510204081632653,0.9313265306122449,0.9271523873047943,0.1586496808584063,0.3918921851481383,4.0,0.5
38,2.4105617102055496e-06,0.27427232989038414,0.9606015037593985,0.9346240601503758,0.935848603228051,0.1791826319070412,0.95,0.9307142857142857,0.9259126261675475,0.16040347376838326,0.388141184937782,4.0,0.5
39,6.038559007141397e-07,0.27522219703174555,0.9610526315789474,0.9347368421052631,0.9365972330317943,0.17899924215509908,0.9504081632653061,0.931530612244898,0.9266982998163643,0.16160500177647918,0.3888393915258348,4.0,0.5
40,3e-07,0.2712854955417032,0.9627819548872181,0.9384586466165413,0.9398996463814859,0.1793764613496212,0.950204081632653,0.9311224489795918,0.9263013964424321,0.1550397907043449,0.38753119863283175,4.0,0.5
