epoch,lr,train_loss,train_acc,train_balanced_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,train_hard_loss,train_soft_loss,kd_temperature,kd_alpha
1,6.014423076923077e-05,2.457725727500824,0.4418796992481203,0.14362781954887222,0.1327211033307412,1.4500089036179828,0.5714285714285714,0.14285714285714285,0.1038961038961039,1.670555219054222,3.2448962333683786,4.0,0.5
2,0.00012014423076923077,2.001762306747528,0.5790225563909774,0.1768609022556391,0.16082469414868725,1.1412889575464773,0.6104081632653061,0.23581632653061227,0.21396910613729833,1.3375857488180583,2.665938863100914,4.0,0.5
3,0.00018014423076923074,1.6286418980990465,0.6230075187969925,0.28443609022556393,0.2699453195711336,0.9071213572177214,0.6489795918367347,0.3093877551020408,0.27660100638223556,1.065135258464859,2.192148539166038,4.0,0.5
4,0.00024014423076923076,1.4474244193675427,0.6602255639097744,0.35137218045112784,0.341356452540905,0.9003343508615123,0.6710204081632654,0.3452551020408163,0.3348446585708282,0.9274638742208481,1.9673849609322274,4.0,0.5
5,0.0003,1.3244796575835118,0.6915789473684211,0.4069736842105263,0.399811731898797,0.7200655121259488,0.7438775510204082,0.5077551020408163,0.4641046332530399,0.834217332661725,1.8147419868753507,4.0,0.5
6,0.00029939614409928584,1.147926376774334,0.7431578947368421,0.5146052631578948,0.515528386752205,0.5635534580555055,0.7995918367346939,0.6252551020408165,0.6199435081047768,0.7164356701004391,1.5794170809766421,4.0,0.5
7,0.00029758943828979444,0.9648485907281821,0.7822556390977443,0.5976691729323308,0.6018375027676713,0.5109708779733386,0.8212244897959183,0.6599489795918367,0.6878655021972759,0.5994250042220721,1.3302721799566195,4.0,0.5
8,0.00029459442910437797,0.8543028426714815,0.8107518796992481,0.6558458646616542,0.6629013926469669,0.43502888453567956,0.8514285714285714,0.7503571428571428,0.7488218350684931,0.5265294345310674,1.182076250274594,4.0,0.5
9,0.00029043523059596053,0.7519313985338578,0.8466165413533835,0.7256015037593985,0.734604451537306,0.3662001738300571,0.8836734693877552,0.7909183673469389,0.8052846300988025,0.4594260826348685,1.0444367157581906,4.0,0.5
10,0.0002851453301853628,0.6614491158666519,0.8693233082706767,0.7694360902255639,0.7788895922466459,0.34780796372343775,0.8912244897959184,0.799591836734694,0.8254791433163527,0.4061204873634359,0.9167777441728574,4.0,0.5
11,0.0002787673190402799,0.5823802695824549,0.8881203007518798,0.8080827067669171,0.8144077221401937,0.3645835290965322,0.8838775510204082,0.8627551020408163,0.8347429414878359,0.35698598198807585,0.8077745583051672,4.0,0.5
12,0.0002713525491562421,0.5437350962669231,0.8951127819548872,0.820093984962406,0.8264530114895993,0.30144790272143757,0.9071428571428571,0.8714285714285716,0.8586501785499874,0.3322778069593299,0.7551923849834845,4.0,0.5
13,0.00026296071990054165,0.5118802989331576,0.9038345864661654,0.8378007518796993,0.8428295894946067,0.2815061972246735,0.9118367346938776,0.8611734693877551,0.8591757966089503,0.30888180507239527,0.7148787933759965,4.0,0.5
14,0.0002536593973480297,0.4849326150993315,0.9124812030075188,0.8543045112781955,0.8578007930294765,0.2496909232471477,0.926530612244898,0.8791326530612243,0.8864163622777655,0.294036463726885,0.6758287673672805,4.0,0.5
