epoch,lr,train_loss,train_acc,train_balanced_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1
1,3.3348368666365956e-05,1.2117247731905023,0.6164661654135338,0.3221428571428571,0.3322651568156904,0.773047734357444,0.7610204081632653,0.5620408163265306,0.5476482471005656
2,6.668170199969929e-05,0.776650914118319,0.7649624060150376,0.5634774436090225,0.5698396553420759,0.7062307385000488,0.8022448979591836,0.7027040816326531,0.6763769813677373
3,0.00010001503533303263,0.6005439448985743,0.8597744360902255,0.7449436090225564,0.7498075747953677,0.5142191343894057,0.9004081632653061,0.8336734693877551,0.8359623701199462
4,0.00013334836866636597,0.503756087832909,0.9107518796992481,0.8459774436090227,0.8493968226604345,0.5727257473232404,0.8944897959183673,0.8896938775510204,0.856428141425492
5,0.0001666817019996993,0.4711215695283087,0.9283458646616541,0.8782706766917293,0.8825957756803289,0.42321745283454837,0.946530612244898,0.908061224489796,0.9095107803072258
6,0.0002,0.46446393256150875,0.9319548872180451,0.8881203007518798,0.8896105392308592,0.5259572912458983,0.9202040816326531,0.8700510204081633,0.8722732079796173
7,0.00019914448613738106,0.45212564350895157,0.9378195488721804,0.8974812030075187,0.8993722686426497,0.3976478201668878,0.9587755102040816,0.928265306122449,0.9323925115519242
8,0.00019659258262890683,0.42863647867604104,0.9446616541353383,0.9095864661654136,0.910535244657987,0.5363472599075649,0.9287755102040817,0.8586224489795918,0.8866306348206262
9,0.0001923879532511287,0.41989909012305826,0.9502255639097744,0.9174248120300751,0.9192797005918686,0.35988572564527777,0.9744897959183674,0.9564795918367347,0.9619714012518591
10,0.00018660254037844388,0.38842859787611905,0.9584962406015037,0.9313345864661654,0.9336387327167077,0.3630639864735971,0.9722448979591837,0.9473469387755101,0.9584237163640185
11,0.00017933533402912354,0.3791490774677313,0.9621804511278196,0.9383082706766916,0.9387204186787994,0.4037203176295889,0.9591836734693877,0.9644387755102041,0.9454693805729972
12,0.00017071067811865476,0.3545926217700535,0.9710526315789474,0.951578947368421,0.9529610877676437,0.3417370072047305,0.9791836734693877,0.9637244897959183,0.969322439170183
13,0.00016087614290087208,0.34196879233817123,0.9742857142857143,0.957387218045113,0.9589479126747565,0.35433888314987194,0.9753061224489796,0.9516836734693878,0.9595628855106921
14,0.00015000000000000001,0.32955772114810933,0.977593984962406,0.96203007518797,0.9635281095953933,0.3684634746871934,0.9726530612244898,0.9531632653061225,0.9545749407165084
15,0.000138268343236509,0.3256017164061292,0.9792481203007519,0.9640225563909776,0.9659692613256039,0.30216331522788675,0.9883673469387755,0.9785204081632654,0.9835805614260462
16,0.00012588190451025207,0.3065554962993797,0.9840601503759399,0.9743045112781955,0.9743646648108631,0.3292522206446532,0.9822448979591837,0.972704081632653,0.9740135805673199
17,0.00011305261922200519,0.29703481923528335,0.9873684210526316,0.9794736842105263,0.9794782113176982,0.3195829957249407,0.9855102040816327,0.9735204081632653,0.9777495163535492
18,0.0001,0.29414727111684347,0.988796992481203,0.9821992481203008,0.9820050417755358,0.3164487850636864,0.9848979591836735,0.9819387755102041,0.9772087605131212
19,8.694738077799488e-05,0.28988898249429573,0.9895488721804512,0.9823872180451128,0.9834155081932737,0.31084113547092845,0.9873469387755102,0.9750510204081632,0.9783773445191086
20,7.411809548974792e-05,0.2830531555062003,0.9918045112781955,0.985187969924812,0.9858320859514603,0.30204772314505884,0.990204081632653,0.9825510204081633,0.984993077171606
21,6.173165676349103e-05,0.27503201216257633,0.9943609022556391,0.9899060150375939,0.9901025566952322,0.2975620522347337,0.9906122448979592,0.9905102040816327,0.987092333674749
22,5.000000000000002e-05,0.2708464364345191,0.9957894736842106,0.9932894736842106,0.9932904040145714,0.290432121718674,0.993061224489796,0.9889795918367348,0.9889809902910693
23,3.9123857099127936e-05,0.27104641856725653,0.9952631578947368,0.9915789473684209,0.9919048252631454,0.28692161449603965,0.9936734693877551,0.9898469387755101,0.9905438672675956
24,2.9289321881345254e-05,0.2664957966253894,0.9967669172932331,0.9944548872180451,0.9948477642551651,0.29152920641543084,0.9926530612244898,0.9885204081632654,0.9887148958769091
25,2.0664665970876496e-05,0.26311697278896,0.9976691729323308,0.9961278195488722,0.9959983345572194,0.2940898298341758,0.9920408163265306,0.9858673469387754,0.9872737274495182
26,1.339745962155613e-05,0.2635017420237915,0.9978947368421053,0.9960526315789473,0.9961838129657574,0.29130094400817935,0.993061224489796,0.9864795918367346,0.9892785300358347
27,7.612046748871327e-06,0.26187460494837245,0.9978947368421053,0.9960526315789473,0.9962511288847393,0.28491008030011283,0.9942857142857143,0.9907142857142857,0.9912707488997203
28,3.40741737109318e-06,0.26149530850609626,0.9983458646616541,0.996954887218045,0.9971506867025436,0.28268113805293454,0.9948979591836735,0.9912244897959183,0.992470234278143
29,8.555138626189618e-07,0.2599008617419405,0.9985714285714286,0.9971428571428572,0.9973391512154584,0.2833171109309833,0.9951020408163266,0.9916326530612245,0.9925258439897544
30,2.0000000000000002e-07,0.26110375099586486,0.9984962406015038,0.9972556390977444,0.9974518674057954,0.2830620083770962,0.9951020408163266,0.9916326530612245,0.9925258439897544
