epoch,lr,train_loss,train_acc,train_balanced_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1
1,8.01923076923077e-05,1.247061490582732,0.5886466165413534,0.2649248120300752,0.2735180760133249,0.9086263458450119,0.6997959183673469,0.44280612244897954,0.399361758513685
2,0.0001601923076923077,0.7715024791228083,0.7505263157894737,0.5306578947368421,0.540868832441385,0.6177124070463242,0.8144897959183673,0.6679081632653061,0.6626979098152572
3,0.0002401923076923077,0.5465529245109513,0.8445112781954888,0.7121804511278196,0.7184265819736267,0.4377529423732262,0.889795918367347,0.7956632653061224,0.796118558256982
4,0.00032019230769230774,0.41678899981511325,0.9029323308270677,0.8229699248120302,0.8291946105437853,0.4068907666709516,0.9181632653061225,0.8920408163265305,0.8702200250237004
5,0.0004,0.3502163603328742,0.9316541353383458,0.8790977443609023,0.8841901492396664,0.3317430181936784,0.9440816326530612,0.8949489795918367,0.9019620402132504
6,0.00039919485879904784,0.3008914259978785,0.9508270676691729,0.9148120300751879,0.918360212803895,0.2746263937903689,0.9636734693877551,0.9355612244897958,0.9391401356786423
7,0.0003967859177197259,0.2839700463586129,0.95796992481203,0.9281766917293233,0.9316640336911267,0.2429086852383304,0.9710204081632653,0.9509693877551022,0.9512466344420778
8,0.00039279257213917066,0.26410656343572414,0.9660902255639098,0.944548872180451,0.9463852668297792,0.2752238956171197,0.9585714285714285,0.9432142857142859,0.9327092085624933
9,0.00038724697412794747,0.24230856702734643,0.9741353383458646,0.9573496240601506,0.9580315486009571,0.21281419365437,0.9844897959183674,0.9721938775510203,0.9767007718175332
10,0.0003801937735804838,0.23445959758156767,0.9765413533834586,0.961109022556391,0.9620946868658962,0.21655983390746178,0.9828571428571429,0.9764285714285715,0.97267408997692
11,0.00037168975872037323,0.2184784782405656,0.9820300751879699,0.9686654135338346,0.9696718313306428,0.1990945398226961,0.986938775510204,0.9803061224489795,0.9788876712206765
12,0.0003618033988749895,0.2125373060026994,0.9836842105263158,0.9718421052631578,0.9731720392083296,0.2006028616776714,0.9891836734693877,0.9855102040816327,0.9825894671760086
13,0.00035061429320072223,0.20672997474097288,0.9857142857142858,0.9760338345864662,0.9769873777812462,0.24757004500209512,0.9724489795918367,0.9827551020408164,0.965593848306061
14,0.00033821252979737297,0.2097485549389743,0.9847368421052631,0.9740789473684212,0.974523101754202,0.23169688338583166,0.9797959183673469,0.969234693877551,0.966362707991553
15,0.00032469796037174674,0.20141360256820917,0.9874436090225563,0.9804135338345865,0.9800305219732055,0.20390466765149848,0.9883673469387755,0.9810204081632652,0.9818668359080408
16,0.0003101793962904205,0.1905531731362526,0.9910526315789474,0.9846052631578947,0.9847963771851385,0.2087062190879475,0.9871428571428571,0.9807142857142858,0.9809019553313496
17,0.0002947737324945997,0.20047576166689396,0.98796992481203,0.9789661654135339,0.9799303351789791,0.23772022118429084,0.9806122448979592,0.9837244897959184,0.9741361287419713
18,0.00027860500633078477,0.1911342587465277,0.991203007518797,0.984906015037594,0.9856123325700462,0.1964285805240854,0.9893877551020408,0.9844897959183674,0.9833784446471762
19,0.00026180339887498953,0.19351136809788072,0.9898496240601504,0.9824624060150375,0.9835570004583845,0.1964807098175024,0.9897959183673469,0.9831632653061225,0.9843638606630802
20,0.0002445041867912629,0.18816966301976487,0.9924812030075187,0.9874624060150374,0.9880448603331454,0.1977712751983048,0.9906122448979592,0.9851530612244899,0.9858356251661485
21,0.0002268466531635311,0.19114482678616276,0.991578947368421,0.9848684210526316,0.9857694677417009,0.20236279263898924,0.9889795918367347,0.9783163265306122,0.9847979241897377
22,0.00020897296607010301,0.18450569006829307,0.9945864661654136,0.9915413533834586,0.9916084603689886,0.20683564729504772,0.9885714285714285,0.9832142857142857,0.9837011642494037
23,0.00019102703392989709,0.1793607072546505,0.9951879699248121,0.9920864661654135,0.9925401716721067,0.1940601212637765,0.9904081632653061,0.9829591836734693,0.9841587001180345
24,0.00017315334683646897,0.18018479086458683,0.9957142857142857,0.9927443609022557,0.9931985232182249,0.18743726359559343,0.9934693877551021,0.9890816326530611,0.9895991254906831
25,0.00015549581320873715,0.17702052667020604,0.9959398496240601,0.9926691729323309,0.9931263043873667,0.18352874358753105,0.9942857142857143,0.9907142857142858,0.990359455195728
26,0.00013819660112501054,0.17672035578065193,0.9960150375939849,0.992951127819549,0.9930805523595717,0.1846056982100784,0.9946938775510205,0.9897448979591836,0.9918525134882464
27,0.0001213949936692153,0.17647259051983172,0.9960150375939849,0.9928195488721804,0.9932768652414005,0.1926117478446527,0.9914285714285714,0.9860714285714286,0.9867453557544722
28,0.00010522626750540028,0.17558099444095904,0.9962406015037594,0.9932706766917293,0.9934655381836609,0.1963522598727957,0.9906122448979592,0.9897959183673469,0.9863091864543042
29,8.982060370957952e-05,0.17524725929475748,0.9967669172932331,0.9940601503759398,0.994452716978731,0.195778116196781,0.9924489795918368,0.9870408163265305,0.987739289849792
30,7.530203962825331e-05,0.17290451384794253,0.9978195488721805,0.996296992481203,0.996493388672967,0.19874541809806576,0.990204081632653,0.986122448979592,0.9850324568925392
31,6.178747020262707e-05,0.1711078088802214,0.9986466165413533,0.9975563909774436,0.9977544357164752,0.1917384827098289,0.9920408163265306,0.9894387755102042,0.9876898696049549
32,4.938570679927783e-05,0.1725303722330584,0.9976691729323308,0.9959962406015037,0.9961280671983882,0.1872293291153846,0.993265306122449,0.9893877551020409,0.9893915867089403
33,3.819660112501053e-05,0.17214088478627113,0.9978947368421053,0.9965789473684211,0.9965139021603733,0.18639162753696564,0.9940816326530613,0.9895918367346939,0.9902934844996609
34,2.831024127962678e-05,0.17077852961105797,0.9984962406015038,0.9972556390977444,0.9976493016538128,0.1878785230703168,0.993265306122449,0.989030612244898,0.9891958985797158
35,1.9806226419516192e-05,0.16925072770279187,0.9990225563909775,0.9980451127819548,0.9982421286321631,0.1895141050993622,0.9934693877551021,0.9883673469387755,0.9890632135447956
36,1.275302587205256e-05,0.1691155003097195,0.9990225563909775,0.9980451127819548,0.998372767767317,0.18593351252667314,0.9936734693877551,0.990204081632653,0.9898421377504153
37,7.2074278608293525e-06,0.17130410201990834,0.9982706766917293,0.9970676691729324,0.997067502933968,0.18602217511310207,0.9942857142857143,0.9899999999999999,0.9906951977080725
38,3.2140822802740668e-06,0.17097088436667734,0.9983458646616541,0.9973496240601503,0.9973497009155379,0.18534047098515868,0.9934693877551021,0.9894387755102042,0.9896030349293701
39,8.051412009521864e-07,0.17101995672027653,0.9982706766917293,0.9974624060150376,0.9972659258778946,0.18663986394931745,0.9942857142857143,0.9899999999999999,0.9907004131790172
40,4.0000000000000003e-07,0.17015348747372627,0.9986466165413533,0.9978195488721804,0.997885459569754,0.18640477394128774,0.9938775510204082,0.9898979591836733,0.9902440853437551
