epoch,lr,train_loss,train_acc,train_balanced_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1
1,0.0001,1.2202470763944662,0.5882706766917293,0.21509398496240603,0.1831648814014772,0.8826593156758841,0.6416326530612245,0.30683673469387757,0.25581888146242865
2,0.0001,0.793638660500829,0.6742857142857143,0.379624060150376,0.37483818359754334,0.7062244860140922,0.7159183673469388,0.4568367346938776,0.4370975824104253
3,0.0001,0.6552732008007857,0.7242857142857143,0.4763345864661655,0.4699880157204924,0.5965919462032616,0.7604081632653061,0.5383163265306122,0.5344636735751195
4,0.0001,0.5204181841646249,0.7796992481203008,0.5813721804511278,0.5722135102928423,0.4576502807692371,0.8175510204081633,0.6593877551020408,0.646307776696996
5,0.0001,0.40659866868876493,0.8414285714285714,0.7031203007518796,0.700446175038552,0.3910637134958252,0.8702040816326531,0.7539795918367346,0.7728962987984265
6,0.0001,0.2802696278175482,0.9084210526315789,0.833421052631579,0.8337717031409106,0.2410893526076424,0.929795918367347,0.8781632653061224,0.8800108754803754
7,0.0001,0.18877702625468373,0.9442105263157895,0.9021052631578946,0.9032254940265426,0.16642288210221215,0.9561224489795919,0.9322448979591835,0.9294721521406949
8,0.0001,0.12519462934981745,0.9658646616541353,0.9409398496240601,0.9427670056094162,0.14342229382071475,0.9616326530612245,0.9461224489795919,0.9387122169557801
9,0.0001,0.08751558276932113,0.9777443609022557,0.9624624060150376,0.9627023589740153,0.11819345237953323,0.963265306122449,0.9543877551020409,0.9456382272087661
10,0.0001,0.0723774274229072,0.9815789473684211,0.9698684210526316,0.9702457395897824,0.10230754497279594,0.970204081632653,0.9596938775510203,0.9533124430359328
11,0.0001,0.05089218867494939,0.9887218045112782,0.9808646616541353,0.9816986822442816,0.08201118823376714,0.9755102040816327,0.9660204081632653,0.9612785185036413
12,0.0001,0.044622719554284304,0.9888721804511278,0.9809022556390978,0.9817969760759471,0.0713848378805991,0.9806122448979592,0.9697959183673469,0.9688560029719515
13,0.0001,0.04185285047816041,0.9893233082706767,0.9820676691729323,0.9824525217778939,0.07265662810728922,0.9806122448979592,0.9665816326530612,0.9677968963069231
14,0.0001,0.03635415144694539,0.9899248120300752,0.9835338345864663,0.9837216653221896,0.06836568757055582,0.98,0.9685714285714286,0.9686466651387706
15,0.0001,0.030906234245496586,0.992406015037594,0.9869172932330826,0.9876924009173178,0.0737443843519303,0.9808163265306122,0.9644897959183673,0.9704410066925574
16,0.0001,0.026580365767586045,0.9936842105263158,0.9885526315789473,0.9893297791527615,0.07352699645452486,0.9787755102040816,0.9654081632653062,0.9679926777724301
17,0.0001,0.021306641951713782,0.9946616541353384,0.9899812030075188,0.9906270814969449,0.09114105446251297,0.9755102040816327,0.9645918367346937,0.9629555083944457
18,0.0001,0.023279547685748324,0.9939097744360902,0.9901879699248121,0.9903861509615632,0.06763739542383247,0.9816326530612245,0.9675510204081632,0.971538726679018
19,0.0001,0.022938436957282156,0.9944360902255639,0.9915037593984962,0.9916336325750933,0.05870766513591614,0.9834693877551021,0.9755102040816326,0.9738435361421393
20,0.0001,0.015698399243634552,0.9962406015037594,0.9937969924812029,0.9940575156545003,0.06847619199106703,0.9789795918367347,0.9758163265306121,0.9690168313802964
